ltaPrefix;oaciCode;iataCode;name
603;ALK;UL;SriLankan Airlines Limited
604;UYC;UY;Camair Co
606;TGZ;A9;Georgian Airways
607;ETD;EY;Etihad Airways
609;WAK;K5;Wings of Alaska
610;KKK;KK;Atlasjet Airlines
611;GPC;3F;Gulf Pearl
612;JAF;TB;JetairFly
614;AUB;IQ;Augsburg Airways
615;BCS;QY;DHL Aviation
617;HLF;HF;TUIfly
618;SIA;SQ;Singapore Airlines Cargo
621;MNA;MZ;Merpati Nusantara Airlines
623;LZB;FB;Bulgaria Air
624;PGT;PC;Pegasus Hava Tasimaciligi
625;ILN;D6;Inter Air Airlines
628;BRU;B2;Belavia
629;SLK;MI;SilkAir
631;GRL;GL;Air Greenland
635;IYE;IY;YEMENIA Airlines
636;BOT;BP;Air Botswana
637;ERT;B8;Eritrean Airlines
640;SFR;FA;Safair
643;AMC;KM;Air Malta
646;MIN;IW;AOM-Minerve S.A.
649;TSC;TS;Air Transat
656;ANG;PX;Air Niugini
657;BTI;BT;AirBaltic
663;ALX;EO;Fly Congo
669;U8A;U8;Armavia Air Company
670;TSO;UN;Transaero Airlines
672;RBA;BI;Royal Brunei Airlines
673;TMA;N2;Trans-Mediterranean Airways
675;AMU;NX;Air Macau
680;JKK;JK;Spanair S.A.
683;CLH;CL;Lufthansa Cityline
684;LRS;RZ;SANSA Servicios Aereos Nacionales
685;PGA;NI;PGA - Portugalia Airlines
688;JAA;EG;Japan Asia Airways
689;BCY;WX;Cityjet
692;LAP;PZ;TAM Mercosur
693;JEC;JX;Jett8 Airlines Cargo
694;ANE;YW;Air Nostrum (Iberia Regional)
695;EVA;BR;EVA Air
696;TCV;VR;TACV - Cabo Verde Airlines
700;ICL;5C;CAL Cargo Airlines
701;WIF;WF;Widerøe
702;MSK;VB;Maersk Air Ltd.
705;JLL;S2;Jet Lite (India) Limited
706;KQA;KQ;KENYA AIRLINES
709;AKK;6L;SUNDT AIR
712;TSY;YS;TRISTAR AIR
716;MNG;MB;MNG Airlines
724;SWR;LX;SWISS
725;ARA;W3;Arik Air
727;MYT;VZ;MyTravel
729;TPA;QT;Tampa Cargo
731;CXA;MF;Xiamen Airlines
733;DNV;D9;Donavia
737;SAT;SP;SATA Air Açores
738;HVN;VN;Vietnam Airlines
743;AXX;M4;Avioimpex A.D. p.o.
745;BER;AB;AirBerlin
749;LNK;4Z;South African Airlink
752;SKX;JZ;Skyways AB
753;;LC;ECAIR quatorial Congo Airlines
754;TOM;BY;Thomson Airways
756;TAY;3V;TNT Airways
757;SMJ;Z3;Avient Aviation
757;RSY;I4;IFLY AIRLINES
758;KFA;;KELOWA FLIGHTCRAFT AIR
760;REU;UU;Air Austral
761;DSR;WD;Dairo Air Service Ltd
770;LFA;H7;Air Alfa Havayollary
771;AHY;J2;Azerbaijan Airlines
774;CSH;FM;Shanghai Airlines
778;MRS;;Air Marshall Islands
780;IRK;Y9;Kish Air
781;CES;MU;China Eastern Airlines
783;CNW;WH;China Northwest Airlines
784;CSN;CZ;China Southern Airlines
796;LBT;BJ;Nouvelair
797;TVS;QS;TRAVEL SERVICE
810;AJT;M6;Amerijet International
815;IRC;EP;Iran Aseman Airlines
817;SCN;S6;South American Airways
818;ISR;6H;Israir
826;GCR;GS;Tianjin Airlines
829;BKP;PG;Bangkok Airways
831;CTN;OU;Croatia Airlines
832;ABX;GB;ABX
839;EXS;LS;JET2
843;XAX;;Air Asia
844;CFE;FD;Cityflyer Express
845;RPB;P5;Copa Airlines Colombia
851;CRK;HX;Hong Kong Airlines
853;BIE;ML;Air Mediterrannee
854;GTV;KG;Aerogaviota
856;VOZ;VA;Virgin Australia
858;WTA;FK;Africa West
868;VAS;V8;ATRAN Cargo Airlines
869;SWN;PT;West Atlantic Sweden
870;AEW;VV;AeroSvit Ukrainian Airlines
871;YZR;Y8;Yangtse River Express
872;BMJ;CH;Bemidji Airlines
873;GEG;6R;Georgian Airlines
874;LIL;TE;Lithuanian Airlines
876;CSC;3U;Sichuan Airlines
877;OMS;N3;OMSKAVIA
880;CHH;HU;Hainan Airlines
881;CFG;DE;Condor Flugdienst
883;FPY;BU;FLYCAA
884;SSV;5G;Skyservice Airlines Inc.
895;HSA;S9;East African Safari Air
897;UDC;7D;Donbass Eastern Ukranian Airlines
906;BRZ;E5;Samara Airlines
907;ARR;QN;Air Armenia
910;OAS;WY;Oman Air
912;ABR;AG;Air Contractors
920;LBO;;Allibo air Cargo
923;CRL;SS;CORSAIR
924;AUR;GR;Aurigny Air Services
928;BRQ;UZ;Buraq Air
930;BOV;OB;Boliviana de aviacion
932;VIR;VS;Virgin Atlantic Airways
933;NCA;KZ;Nippon Cargo Airlines
937;BAB;BN;Bahrain Air
944;BAG;DI;Deutsche BA Luftfahrtgesellschaft mbH
946;VEC;V4;Vensecar International
956;RME;R3;Armenian Airlines
957;TAM;JJ;TAM
958;INC;7I;InselAir
959;;LE;Laparkan airways
960;ELL;OV;Estonian Air
969;SAY;CB;ScotAirways
971;HRH;WR;Royal Tongan Airlines
974;MON;ZB;Monarch Airlines
976;MPX;QO;Aeromexpress Cargo
978;VLM;VG;VLM Airlines
979;TRA;HV;Transavia Airlines
982;ABL;BX;Air Busan
985;LAE;L7;LATAM Cargo Colombia
988;AAR;OZ;ASIAN AIRLINES
989;GWL;IJ;Great Wall Airlines
991;DAO;D3;Daallo Airlines
996;AEA;UX;Air Europa
997;BBC;BG;Biman Bangladesh Airlines
999;CCA;CA;Air China
;FCL;PA;Florida Coastal Airlines
;INX;6K;Inter Express Hava Tasimacilik
;WLG;G6;Air Volga
;MEM;;ICAR
;AVE;VE;Aerovias Venezolanas, S.A.
;SKY;BC;Skymark Airlines
;PFC;P4;Pacific International Airlines
;SJM;SJ;Southern Air Transport
;TYM;7M;Tyumen Airlines
;;V1;IBS Software Services Americas
;MTQ;NN;Air Martinique
;XXH;XH;Special Ground Handling Services
;LRT;RT;Airlines of South Australia
;SFW;4Q;Safi Airways
;CVK;;CAVOK AIR
;SFS;;SFS
;CXJ;XO;China Xinjiang Airlines
;NBK;F4;Albarka Air service
;XBO;3Y;Baseops Int. Inc.
;SBS;BB;Seaborne Airways
;SLA;LJ;Sierra National Airlines
;;DU;Hemus Air
;JZR;J9;Jazeera Airways
;FCA;DP;First Choice Airways
;BMS;0B;Blue Air
;NTL;TD;Air Anatolia
;EKA;5E;Equaflight services
;UDD;5D;Donbass Airlines
;JAC;3X;Japan Air Commuter
;EZY;U2;Eastjet Airlines
;CMM;2T;Canada 3000 Airlines Limited
;BZH;DB;Brit Air
;WFS;FH;WFS
;UGA;;UGA
;ALA;A1;Alas Cargo
;;AO;Aviacion y Comercio S.A. (AVIACO)
;RSN;ZC;Royal Swazi National Airways Corp.
;HKE;UO;Hong Kong Express Airways
;GSC;GD;Grandstar
;ELO;K2;EUROLOT
;JFU;8J;Jet4You
;TBA;TR;Transbrasil S.A., Linhas Aereas
;HKA;SO;Seperior Aviation
;TAS;LU;Lotus Egypt
;ELG;E8;ALPI Eagles
;GNF;G7;Gandalf Airlines
;MJX;4L;Euroline Georgia
;KDC;XC;K.D. Air Corporation
;GLO;G3;VRG Linhas A곥as S.A. - Grupo GOL
;ISK;3L;InterSky
;BON;JA;B&H Airlines
;SOL;IE;Solomon Airlines
;VAT;OT;Avant Airlines
;SCH;AW;Schreiner Airways
;;KN;Maroomba Airlines
;ASU;5L;Aerosur
;BCI;AX;Blue Island
;SCI;C7;Special Cargo Airlines
;ROM;BQ;Aeromar
;GNT;II;Business Air
;AWC;ZT;TITAN AIRWAYS
;JUB;3J;Jubba AirWays
;ADH;AP;Air One
;FHY;XD;Freebird Airlines
;GEA;DA;Guinea Ecuatorial Airlines
;VIV;;VIVA
;CGK;4C;Click Airways
;GJB;TY;Trans Air Link
;STY;Z2;Styrian Airlines
;DHK;D0;DHL Air
;AFM;ZL;Affretair
;SCW;TF;Braathens Regional Aviation
;HIL;HS;Highland Air
;BMM;8A;Atlas Blue
;BRT;TH;British Airways Citi Expres
;CBF;CJ;China Northern Airlines
;NZA;ZQ;Ansett New Zealand
;AXY;6V;Axys Airways
;SMX;XM;Alitalia Express
